Issue Type,Key,Epic Link,Journey,Wave,Summary,Description,Acceptance Criteria,Personas,Modules,Priority,T-Shirt,Depends On,Flags
"Story","J1-E2-S2","J1-E2","J1 Institution Onboarding","1","Institution trust stats","As a Sports Secretary, I want to see our record counts on the sign-in screen, so that the workspace feels like our institution's own system of record.","Given my institution is identified from my email domain
Then I see records kept, events per year and medals won for that institution
And the figures come from a cached aggregate, not a live count
And no figure is displayed at all if the aggregate is unavailable","Sports Secretary, Faculty Coordinator, Student Coordinator, Player","01, 02","P0","","",""
"Story","J1-E2-S3","J1-E2","J1 Institution Onboarding","1","Reset a forgotten password","As a Faculty Coordinator, I want to reset my own password by email, so that I'm not blocked at 11pm before a tournament.","When I request a reset for my address
Then a single-use token with an expiry is created and only its hash is stored
And an email is sent via the email service
And the response and its timing are identical whether or not the address exists

Given I open a valid, unexpired, unconsumed reset link
When I set a new password
Then the token is consumed and cannot be reused
And any existing sessions are invalidated

Given I open a link that is expired or already consumed
Then I am told it is no longer valid and offered a fresh one

Given I request resets repeatedly
When I exceed the per-address or per-IP rate limit
Then further requests are refused without revealing why","Sports Secretary, Faculty Coordinator, Student Coordinator, Player","01, 02","P0","","",""
"Story","J1-E2-S4","J1-E2","J1 Institution Onboarding","1","Sign in with a one-time code","As a Student Coordinator, I want to sign in with a code emailed to me, so that I don't need to remember another password.","Given my institution permits one-time codes
When I request a code
Then a 6-digit code valid for 10 minutes is emailed to me
And it is single-use
And after 5 incorrect attempts it is invalidated and I must request another
And I can switch back to password sign-in at any point","Sports Secretary, Faculty Coordinator, Student Coordinator, Player","01, 02","P0","","",""
"Epic","J1-E3","","J1 Institution Onboarding","1","Invite the sports office team","Coordinators are invited by email and set their own passwords. No relayed temporary credentials.","","Sports Secretary, Faculty Coordinator","01, 02, 03","P0","M","",""
"Story","J1-E3-S1","J1-E3","J1 Institution Onboarding","1","Invite a coordinator by email","As a Sports Secretary, I want to invite a faculty coordinator by email address, so that they can join without me handling their password.","When I invite ""priya@iimb.ac.in"" as a Faculty Coordinator
Then an invitation with a single-use expiring token is created
And an email is sent containing the acceptance link
And she appears in my members list as Invited until she accepts

Given the invited address is outside my institution's verified domains
Then I am warned before the invitation is sent, and may proceed deliberately","Sports Secretary, Faculty Coordinator","01, 02, 03","P0","","",""
"Story","J1-E3-S2","J1-E3","J1 Institution Onboarding","1","Accept an invitation and set a password","As a Faculty Coordinator, I want to click the invitation link and choose my own password, so that nobody else ever knows my credentials.","Given I open a valid invitation link
When I set a password
Then my account is activated with the role stated in the invitation
And the token is consumed
And I land on the workspace home, not a participant profile

Given I already have a Sportagon account with that email
When I open the link
Then the institution membership is added to my existing account
And I am not asked to create a second account","Sports Secretary, Faculty Coordinator","01, 02, 03","P0","","",""
"Story","J1-E3-S3","J1-E3","J1 Institution Onboarding","1","Manage the sports office team","As a Sports Secretary, I want to change a coordinator's role or remove them, so that access matches who is actually on the committee this year.","When I change a member's role
Then the change takes effect immediately and is written to the audit trail

Given a member is the only remaining active owner or admin
When I try to demote, deactivate or remove them
Then it is refused, and I am told to promote someone else first","Sports Secretary, Faculty Coordinator","01, 02, 03","P0","","",""
"Story","J1-E3-S4","J1-E3","J1 Institution Onboarding","1","Committee handover","As a Sports Secretary, I want to hand ownership to next year's secretary, so that the institution's record survives the committee turning over.","Given I am the owner
When I promote another active member to owner and step down to admin
Then they hold full access and I do not
And the handover is recorded in the audit trail","Sports Secretary, Faculty Coordinator","01, 02, 03","P0","","",""
"Epic","J2-E1","","J2 Run a Championship","1","Create a championship from a template","An organiser can stand up a fully-configured championship from a template instead of an empty form.","","Championship Organiser, Faculty Coordinator","09","P1","M","",""
"Story","J2-E1-S1","J2-E1","J2 Run a Championship","1","Start from a template","As a Championship Organiser, I want to pick a championship shape when I start, so that I'm not configuring six sports from an empty form.","Given I start creating a championship
Then I am offered Multi-sport meet, League tournament, Knockout cup, and Start from scratch
When I pick one and complete the profile step
Then a draft championship is created with that template's sports, disciplines, formats and standings rules applied
And I can change anything the template set before opening registration","Championship Organiser, Faculty Coordinator","09","P1","","",""
"Story","J2-E1-S2","J2-E1","J2 Run a Championship","1","Classify the championship","As a Championship Organiser, I want to record what kind of event this is, so that it is filterable and reports can group by type.","When I set the type to Inter-Programme
Then it is stored and shown as a column in the championships list
And I can filter the list by type
And leaving it unset is permitted for existing championships","Championship Organiser, Faculty Coordinator","09","P1","","",""
"Story","J2-E1-S3","J2-E1","J2 Run a Championship","1","Work in draft","As a Championship Organiser, I want to build the event over several sittings, so that I don't lose work or publish something half-finished.","Given a championship is in draft
Then it is visible only to me and my organising team
And it does not appear in Discover
And it cannot be enrolled into
And I can leave and resume at any step","Championship Organiser, Faculty Coordinator","09","P1","","",""
"Epic","J2-E3","","J2 Run a Championship","1","Build the competition structure","The championship's sports, disciplines, formats, venues and point system are defined so fixtures can be generated.","","Championship Organiser","09","P0","S","",""
"Story","J2-E3-S1","J2-E3","J2 Run a Championship","1","Configure sports, disciplines and formats","As a Championship Organiser, I want to define what's being contested and how, so that fixtures can be generated correctly.","When I add a sport, its disciplines, a format and entry rules
Then squad minimum and maximum resolve as draw override → discipline default → system default
And the entry type is one of team, individual, doubles or relay","Championship Organiser","09","P0","","",""
"Story","J2-E3-S2","J2-E3","J2 Run a Championship","1","Venues and grounds","As a Championship Organiser, I want to record venues and their grounds, so that fixtures can be placed somewhere real.","When I add a venue and its grounds
Then grounds are selectable when scheduling a fixture
And a venue cannot be deleted while fixtures reference its grounds","Championship Organiser","09","P0","","",""
"Story","J2-E3-S3","J2-E3","J2 Run a Championship","1","Set the point system","As a Championship Organiser, I want to choose how results become standings points, so that the table reflects our rules.","When I choose league points, placement, medal, custom or ranking
Then it applies at championship, format or discipline scope
And the most specific rule wins
And choosing custom reminds me that I must enter points manually after each result","Championship Organiser","09","P0","","",""
"Story","J2-E3-S4","J2-E3","J2 Run a Championship","1","Import a whole setup from a sheet","As a Championship Organiser, I want to build the championship from a spreadsheet, so that a large multi-sport meet doesn't take a day of clicking.","Given a sheet of sections against sport/discipline columns
When I validate it
Then I see what will be created and what is rejected, with nothing written
When I apply it
Then organisations, teams and draws are created, with people matched by phone
And re-applying the same sheet changes nothing","Championship Organiser","09","P0","","",""
"Epic","J2-E7","","J2 Run a Championship","1","Submit & lock scorecards","A scorecard can be submitted for review and then locked, after which the result is official and cannot be quietly changed.","","Official, Championship Organiser","06","P0","M","J6-E3","high-leverage"
"Story","J2-E7-S1","J2-E7","J2 Run a Championship","1","Submit a scorecard","As an Official, I want to submit my completed scorecard, so that it's clear I'm finished and it's ready for review.","Given I have finished scoring
When I submit the scorecard
Then its status moves from draft to submitted, stamped with me and the time
And it appears in the organiser's lock queue
And I can still correct it while it remains submitted","Official, Championship Organiser","06","P0","","",""
"Story","J2-E7-S2","J2-E7","J2 Run a Championship","1","Lock a scorecard","As a Championship Organiser, I want to review and lock a submitted scorecard, so that the result becomes official and can no longer be quietly changed.","Given a submitted scorecard with both teams set and scores present
When I lock it
Then status becomes locked, stamped with me and the time
And the fixture is completed and the result published as Verified
And the bracket advances, standings recompute, lifetime entries are written,
    achievements are derived, certificates are queued, and an audit entry is written
And if any of those steps fails, none of them is applied and the scorecard stays submitted","Official, Championship Organiser","06","P0","","",""
"Story","J2-E7-S3","J2-E7","J2 Run a Championship","1","A locked scorecard cannot be edited","As a Sports Secretary, I want locked results to be immutable, so that our record can be trusted.","Given a locked scorecard
When anyone attempts to change its result, live state, points, awards or scorecard link
Then the change is refused with a message explaining that a correction is required
And this applies to organisers, officials and platform admins alike","Official, Championship Organiser","06","P0","","",""
"Story","J2-E7-S4","J2-E7","J2 Run a Championship","1","Lock in bulk","As a Championship Organiser, I want to lock many scorecards at once, so that finishing a 90-match meet isn't 90 separate actions.","Given several submitted scorecards
When I lock the selection
Then each is locked in its own transaction
And I get a per-fixture result, with one failure not preventing the rest","Official, Championship Organiser","06","P0","","",""
"Story","J2-E7-S5","J2-E7","J2 Run a Championship","1","Only locked results read as Verified","As a Player, I want to know which results are final, so that I can tell an official record from a provisional one.","Then results from locked scorecards show a Verified badge
And unlocked results are labelled Provisional wherever they appear,
    including standings and the public share page","Official, Championship Organiser","06","P0","","",""
"Epic","J3-E4","","J3 Enter & Compete","1","Discover competitions to enter","Captains and secretaries can find competitions worth entering, and apply to them.","","Team Captain, Sports Secretary","09","P1","M","",""
"Story","J3-E4-S1","J3-E4","J3 Enter & Compete","1","Browse open competitions","As a Team Captain, I want to browse competitions I could enter, so that I find opportunities without being told about them.","Then I see public championships that are open for registration
And I can search and filter by sport and status
And private championships I'm not involved in do not appear
And each card shows whether my institution has already applied, and the status","Team Captain, Sports Secretary","09","P1","","",""
"Story","J3-E4-S2","J3-E4","J3 Enter & Compete","1","Filter by region","As a Sports Secretary, I want to filter competitions by region, so that I can find events we could realistically travel to.","Then I can filter by All, Asia, Europe, Americas or Oceania
And I see header stats for countries, open competitions and regions
And championships without a country set are grouped as unspecified rather than hidden","Team Captain, Sports Secretary","09","P1","","",""
"Story","J3-E4-S3","J3-E4","J3 Enter & Compete","1","Apply to a competition","As a Team Captain, I want to apply on behalf of my institution, so that we can be considered for entry.","Given a championship open for registration
When I apply on behalf of an institution I administer
Then a pending application is created and the organiser is notified
And applying twice for the same institution is refused with a clear message","Team Captain, Sports Secretary","09","P1","","",""
"Epic","J3-E5","","J3 Enter & Compete","1","My matches & my day","A player can see their own fixtures, follow their live matches, and see how their championship is going.","","Player, Team Captain","09","P0","S","",""
"Story","J3-E5-S1","J3-E5","J3 Enter & Compete","1","See my upcoming matches","As a Player, I want to see my own fixtures, so that I know where to be and when.","Then I see my upcoming matches with date, time, venue, opponent and sport
And past matches show the result
And this covers every championship I'm in, including ones I entered as an individual","Player, Team Captain","09","P0","","",""
"Story","J3-E5-S2","J3-E5","J3 Enter & Compete","1","Follow a match I'm in","As a Player, I want to see the live score of my match, so that teammates and family can follow it.","Given a match I'm in is live
Then I see the current score, updating as the official scores it
And once its scorecard is locked the result shows as Verified","Player, Team Captain","09","P0","","",""
"Story","J3-E5-S3","J3-E5","J3 Enter & Compete","1","See my championship","As a Player, I want to see the standings and fixtures of a championship I'm in, so that I know how we're doing.","Then I see standings, my team's fixtures and results
And standings are labelled Provisional while any contributing result is unlocked","Player, Team Captain","09","P0","","",""
"Epic","J1-E4","","J1 Institution Onboarding","2","Programme & batch structure","The institution's shape is described, so people can be tagged and reports can be broken down.","","Sports Secretary","01","P0","M","J1-E1",""
"Story","J1-E4-S1","J1-E4","J1 Institution Onboarding","2","Build the structure tree","As a Sports Secretary, I want to define our programmes and their batches, so that people can be placed in the institution's real structure.","When I add a programme ""PGP"" and batches ""PGP 2024"" and ""PGP 2025"" beneath it
Then the tree renders as Institution → Programme → Batch
And each node shows a derived member count, never a stored one
And display order is editable","Sports Secretary","01","P0","","",""
"Story","J1-E4-S2","J1-E4","J1 Institution Onboarding","2","Edit and remove units","As a Sports Secretary, I want to rename or remove a unit, so that the structure stays accurate as programmes change.","When I rename a programme
Then everyone assigned to it reflects the new name immediately

Given a unit has members assigned
When I try to delete it
Then I am warned how many people are affected and must confirm
And on confirmation their unit assignment is cleared, not their record","Sports Secretary","01","P0","","",""
"Epic","J2-E2","","J2 Run a Championship","2","Open registration & approve entrants","Entrants apply, and organisers accept or decline them in bulk, with everyone told the outcome.","","Championship Organiser, Faculty Coordinator","09, 02","P0","M","",""
"Story","J2-E2-S1","J2-E2","J2 Run a Championship","2","Open registration","As a Championship Organiser, I want to open the championship for entries, so that teams can apply.","When I move the championship from draft to registration_open
Then public championships appear in Discover
And private championships remain invite-only and 404 by direct id for uninvolved users
And only legal status transitions are permitted","Championship Organiser, Faculty Coordinator","09, 02","P0","","",""
"Story","J2-E2-S2","J2-E2","J2 Run a Championship","2","Approve entrants in bulk","As a Championship Organiser, I want to approve or reject many applications at once, so that twelve programmes across six sports isn't twelve separate clicks per sport.","Given several pending applications
When I select them and approve the selection
Then each is approved individually, stamped with reviewer and timestamp
And each applicant is notified
And a partial failure reports per-application results rather than failing the batch

When I reject an application
Then I must supply a note, which is shown to the applicant","Championship Organiser, Faculty Coordinator","09, 02","P0","","",""
"Story","J2-E2-S3","J2-E2","J2 Run a Championship","2","Invite organisations directly","As a Championship Organiser, I want to invite specific institutions, so that a private inter-college event reaches exactly who I intend.","When I invite an organisation by name from the directory
Then an invitation appears in their Invitations inbox
And they are emailed
And accepting enrols them directly without a separate application","Championship Organiser, Faculty Coordinator","09, 02","P0","","",""
"Story","J2-E2-S4","J2-E2","J2 Run a Championship","2","Track our outbound applications","As a Faculty Coordinator, I want to see the status of events we've applied to, so that I don't check each championship page one by one.","Then I see every championship my institution has applied to, with status Pending, Approved or Rejected
And rejections show the organiser's note
And I am notified when a decision is made","Championship Organiser, Faculty Coordinator","09, 02","P0","","",""
"Epic","J2-E4","","J2 Run a Championship","2","Schedule fixtures & assign officials","Fixtures exist, are scheduled against real grounds and times, and each has someone responsible for scoring it.","","Championship Organiser","09","P0","S","J2-E3",""
"Story","J2-E4-S1","J2-E4","J2 Run a Championship","2","Generate fixtures","As a Championship Organiser, I want fixtures generated from the entrants and format, so that I don't build a bracket by hand.","When I generate fixtures for a draw
Then the correct generator runs for knockout, round-robin, groups or ranking
And knockout draws pad to a power of two with byes
And seed order is randomised rather than following registration order
And an existing generated draw is not silently overwritten","Championship Organiser","09","P0","","",""
"Story","J2-E4-S2","J2-E4","J2 Run a Championship","2","Schedule and edit","As a Championship Organiser, I want to set times, grounds and durations, so that the meet has a workable timetable.","When I set a fixture's time, ground and duration
Then it appears on the schedule timeline
And I can edit a fixture manually without regenerating the draw","Championship Organiser","09","P0","","",""
"Story","J2-E4-S3","J2-E4","J2 Run a Championship","2","Assign officials","As a Championship Organiser, I want to assign an official to each match, so that somebody is responsible for scoring it.","When I assign an official to a fixture
Then it appears in their Officiating queue
And they gain scoring rights for that fixture only
And they are notified","Championship Organiser","09","P0","","",""
"Epic","J3-E1","","J3 Enter & Compete","2","Enter without an institution","A person with no institution can enter a competition alone or with friends, without ever meeting the concept of an organisation.","","Player, Team Captain","05","P0","M","J1-E1","high-leverage"
"Story","J3-E1-S1","J3-E1","J3 Enter & Compete","2","Enter as an individual","As a Player, I want to enter a competition as myself, so that I can compete without belonging to any institution.","Given I am signed in, belong to no institution, and the championship allows individual entry
When I choose ""Just me"" on a championship that is open for registration
Then my entry is submitted in a single action
And I never see the word ""organisation"" anywhere in the flow
And behind the scenes a personal organisation, enrolment, one-person team and entry are
    created in one transaction — or none of them are

Given the draw's entry type is ""individual""
Then I am not asked anything about a squad","Player, Team Captain","05","P0","","",""
"Story","J3-E1-S2","J3-E1","J3 Enter & Compete","2","Enter as a small group","As a Team Captain, I want to enter with a few friends, so that an ad-hoc five-a-side team can compete.","When I choose ""A group of friends"" and name the squad
Then the squad is created with me as captain and entered into the championship
And I get a share link my friends can use to join themselves
And the squad name is what appears in fixtures and standings

Given the draw's entry type is ""doubles""
Then I am asked for exactly one partner","Player, Team Captain","05","P0","","",""
"Story","J3-E1-S3","J3-E1","J3 Enter & Compete","2","I appear as a person, not an organisation","As a Player, I want to be shown by my own name, so that standings and fixtures don't display a fake organisation.","Given I entered as an individual
Then standings, fixtures, approvals and public share pages show my name and avatar
And no organisation logo or Verified badge is shown for me
And in an organisation-aggregated standings table I may be suffixed ""(Individual)""","Player, Team Captain","05","P0","","",""
"Story","J3-E1-S4","J3-E1","J3 Enter & Compete","2","Personal organisations stay invisible","As a Sports Secretary, I want individual entrants kept out of organisation lists, so that our directory and platform statistics aren't polluted.","Then personal organisations never appear in the organisation directory or typeahead,
    the platform organisation list, Discover, the invite picker, the join-an-organisation
    modal, or peer benchmark aggregates
And platform-level counts of organisations exclude them
And a user can hold at most one personal organisation","Player, Team Captain","05","P0","","",""
"Story","J3-E1-S5","J3-E1","J3 Enter & Compete","2","Organisers control individual entry","As a Championship Organiser, I want to decide whether individuals may enter, so that an inter-college championship isn't joined by unaffiliated players.","Given I am configuring a championship
Then ""Allow individual entries"" defaults to on for public and off for private championships
When it is off
Then the individual entry option is not offered and a direct attempt is refused","Player, Team Captain","05","P0","","",""
"Story","J3-E1-S6","J3-E1","J3 Enter & Compete","2","Individual entries still need approval","As a Championship Organiser, I want individual entrants in my approvals queue, so that I control who competes.","Given an individual has applied
Then they appear in the approvals queue rendered as a person, not an institution
And approving or rejecting works identically to an organisation application","Player, Team Captain","05","P0","","",""
"Epic","J3-E2","","J3 Enter & Compete","2","Build and manage a squad","A captain can assemble a reusable squad with roles, jersey numbers and a coach.","","Team Captain","09","P0","M","",""
"Story","J3-E2-S1","J3-E2","J3 Enter & Compete","2","Create a team","As a Team Captain, I want to create a team for a sport, so that I have a squad that can enter competitions.","Given I am an owner or admin of my institution
When I create a team with a name and sport
Then it belongs to my institution and is reusable across championships
And it starts in a forming state","Team Captain","09","P0","","",""
"Story","J3-E2-S2","J3-E2","J3 Enter & Compete","2","Pick the squad","As a Team Captain, I want to add players from our directory, so that I'm choosing from real, verified people.","When I search the directory and add players
Then each is added with a role of player or substitute
And squad size is validated against the resolved minimum and maximum for the draw
And exactly one captain and at most one vice-captain may be assigned
And jersey numbers are unique within the squad","Team Captain","09","P0","","",""
"Story","J3-E2-S3","J3-E2","J3 Enter & Compete","2","Record a coach","As a Team Captain, I want to record our coach, so that the team card shows who is responsible for it.","When I assign a coach to the team
Then the coach appears on the team card and roster
And the coach is not counted against squad size limits
And a team may have no coach","Team Captain","09","P0","","",""
"Story","J3-E2-S4","J3-E2","J3 Enter & Compete","2","Lock the roster for a championship","As a Team Captain, I want to lock my squad for one championship, so that it's final there without freezing the team everywhere.","Given my team is entered in two championships
When I lock the roster for one of them
Then that entry's squad cannot change
And the team's squad for the other championship is unaffected
And an organiser can unlock it if a genuine change is needed","Team Captain","09","P0","","",""
"Epic","J4-E1","","J4 The Verified Record","2","Locked results propagate atomically","Locking a result fans out into every downstream record in a single transaction, or not at all.","","Championship Organiser","06","P0","M","J2-E7","high-leverage"
"Story","J4-E1-S1","J4-E1","J4 The Verified Record","2","One lock, one transaction","As a Championship Organiser, I want locking to either fully succeed or fully fail, so that the record is never half-written.","Given a submitted scorecard
When I lock it
Then the result is published, the bracket advances, standings recompute,
     lifetime entries are written, achievements are derived, certificates are queued,
     and an audit entry is recorded — all in one transaction
And if any step fails, none is applied and the scorecard remains submitted
And I see which step failed","Championship Organiser","06","P0","","",""
"Story","J4-E1-S2","J4-E1","J4 The Verified Record","2","Notify after commit, never inside","As a Player, I want to be told when my result is official, so that I know it counts.","Given a lock has committed
Then participants are notified that the result is verified
And notification failure does not roll back the lock","Championship Organiser","06","P0","","",""
"Story","J4-E1-S3","J4-E1","J4 The Verified Record","2","Individual competitors are resolved to people","As a Player, I want my swimming result on my profile, so that ranking events count toward my record like team matches do.","Given a ranking event where competitors are held as event data with names and phones
When the scorecard is locked
Then each competitor whose phone matches a user gets a lifetime entry
And unmatched competitors are recorded on the fixture but create no entry","Championship Organiser","06","P0","","",""
"Epic","J6-E1","","J6 Govern & Administer","2","Roles & permissions","Access is configurable per institution and enforced server-side, replacing hard-coded rules without loosening any of them.","","Sports Secretary","03","P0","L","J1-E1",""
"Story","J6-E1-S1","J6-E1","J6 Govern & Administer","2","See what can be granted","As a Sports Secretary, I want a clear list of the permissions that exist, so that I can reason about access rather than guess.","Then I see a catalogue of named permissions grouped by area, each with a plain-language label
And the catalogue is defined in code and cannot be edited or invented through the UI
And every permission states whether it applies at organisation or championship scope","Sports Secretary","03","P0","","",""
"Story","J6-E1-S2","J6-E1","J6 Govern & Administer","2","Configure roles as a matrix","As a Sports Secretary, I want to set what each role can do, so that our committee structure maps onto real access.","Given the seeded roles Organisation Owner, Faculty Coordinator and Student Coordinator
Then I see a matrix of roles against permissions with checkboxes
And the matrix is generated from the catalogue, never hand-maintained
When I change a role's permissions
Then it takes effect for everyone holding that role on their next request
And the change is written to the audit trail","Sports Secretary","03","P0","","",""
"Story","J6-E1-S3","J6-E1","J6 Govern & Administer","2","Assign roles to people","As a Sports Secretary, I want to give a coordinator a role, so that they can do their job and nothing more.","When I assign Faculty Coordinator to a member
Then they immediately gain that role's permissions within my institution only
And they gain nothing in any other institution they belong to
And the assignment is audited","Sports Secretary","03","P0","","",""
"Story","J6-E1-S4","J6-E1","J6 Govern & Administer","2","Enforcement is server-side","As a Sports Secretary, I want permissions enforced on the server, so that hiding a button is not the security model.","Given a user lacks a permission
When they call the endpoint directly, bypassing the interface
Then the request is refused
And the interface hides the action as a convenience only, never as the boundary","Sports Secretary","03","P0","","",""
"Story","J6-E1-S5","J6-E1","J6 Govern & Administer","2","The retrofit changes no existing behaviour","As a Sports Secretary, I want the new engine to preserve today's access rules exactly, so that nobody silently gains or loses access.","Given the existing guards for championship management, team management, team creation,
      user management, self-enrolment and fixture scoring
When each is re-expressed as a call to the permission engine
Then every existing authorisation test still passes unchanged
And a team's own captain retains team management rights alongside organisation admins
And creating teams in bulk still requires rights in every organisation named","Sports Secretary","03","P0","","",""
"Story","J6-E1-S6","J6-E1","J6 Govern & Administer","2","Role names are not load-bearing strings","As a Sports Secretary, I want to rename a role safely, so that renaming it doesn't break the product.","When I rename a role
Then authorisation continues to work correctly
And no behaviour depends on the role's display name","Sports Secretary","03","P0","","","blocked-on-decision"
"Epic","J6-E4","","J6 Govern & Administer","2","Correct a locked result","A locked result can be corrected by an authorised person, with a stated reason, reversing everything the lock produced.","","Championship Organiser, Sports Secretary","06, 03","P0","M","J2-E7, J6-E3",""
"Story","J6-E4-S1","J6-E4","J6 Govern & Administer","2","Unlock with a stated reason","As a Championship Organiser, I want to reverse a locked result when it's genuinely wrong, so that an honest mistake isn't permanent.","Given a locked scorecard and the authority to correct it
When I unlock it
Then I must supply a reason, and it cannot be blank
And the scorecard returns to submitted and becomes editable
And an audit entry records who unlocked it, when, and why","Championship Organiser, Sports Secretary","06, 03","P0","","",""
